year,population_group,disability_index,percentage,,,,,,,,,,,
2011,Black African ,1,7.8,,,,,,,,,,,
2011,Black African ,2,92.2,,,,,,,,,,,
2011,Coloured,1,6.2,,,,,,,,,,,
2011,Coloured,2,93.8,,,,,,,,,,,
2011,Indian/Asian,1,6.2,,,,,,,,,,,
2011,Indian/Asian,2,93.8,,,,,,,,,,,
2011,White,1,6.5,,,,,,,,,,,
2011,White,2,93.5,,,,,,,,,,,
2016,Black African ,1,7.6,,,,,,,,,,,
2016,Black African ,2,92.4,,,,,,,,,,,
2016,Coloured,1,7.5,,,,,,,,,,,
2016,Coloured,2,92.6,,,,,,,,,,,
2016,Indian/Asian,1,8.5,,,,,,,,,,,
2016,Indian/Asian,2,91.5,,,,,,,,,,,
2016,White,1,9.2,,,,,,,,,,,
2016,White,2,90.8,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
